Language = "PortugueseBrazil"
IsRtl = "False"

ID = "STR_CULTURE_GREEKS"   ;   Str = "Gregos"
ID = "STR_CULTURE_EGYPTIANS"   ;   Str = "Egípcios"
ID = "STR_CULTURE_NORSE"   ;   Str = "Nórdicos"
ID = "STR_CULTURE_ATLANTEANS"   ;   Str = "Atlantes"
ID = "STR_CIV_ZEUS"   ;   Str = "Zeus"
ID = "STR_CIV_ZEUS_LR"   ;   Str = "Foco: Infantaria e Heróis.\n• Começa com ${ZEUS_STARTING_FAVOR_BONUS} de Favor.\n• Ganha Favor ${ZEUS_FAVOR_SPEED}% mais rápido.\n• Unidades míticas custam ${ZEUS_MYTH_UNIT_COST} população a menos.\n• Infantaria causa +${ZEUS_INFANTRY_BUILDING_DAMAGE_BONUS}% de dano a construções.\n• Hoplitas se movem ${ZEUS_HOPLITES_MOVEMENT_BONUS}% mais rápido."
ID = "STR_CIV_HADES"   ;   Str = "Hades"
ID = "STR_CIV_HADES_LR"   ;   Str = "Foco: Soldados e Construções de longo alcance.\n• ${HADES_FALLEN_SHADE_RETURN_CHANCE}% de chance de humanos caídos retornarem como Sombras.\n• Unidades mitológicas ganham +${HADES_MYTH_UNIT_HP_BONUS}% de pontos de vida por era.\n• Soldados e heróis de longo alcance possuem +${HADES_RANGED_BONUS} de alcance e +${HADES_LOS_BONUS} de LOS.\n• Fortificações de longo alcance possuem +${HADES_RANGED_FORITIFATION_RANGE_BONUS} de alcance.\n• Flechas Balísticas e Incendiárias são pesquisadas instantaneamente e gratuitamente em suas respectivas eras."
ID = "STR_CIV_POSEIDON"   ;   Str = "Poseidon"
ID = "STR_CIV_POSEIDON_LR"   ;   Str = "Foco: Cavalaria e Economia.\n• Milícias surgem de construções destruídas.\n• Cavalaria, Caravanas e Unidades Mitológicas recebem +${POSEIDON_UNITS_SPEED_BONUS} de velocidade por era.\n• Estábulos e Mercados são ${POSEIDON_STABLE_MARKET_CHEAP}% mais baratos.\n• Taxas de troca do mercado melhoram ${POSEIDON_MARKET_RATE_IMPROVEMENT}%.\n• Um Hipocampo gratuito reaparece na primeira Doca."
ID = "STR_CIV_RA"   ;   Str = "Rá"
ID = "STR_CIV_RA_LR"   ;   Str = "Foco: Unidades e Fortalecimento da Fortaleza Migdol.\n• Trabalhadores coletam de Arbustos Frutíferos ${RA_GATHER_BONUS}% mais rápido.\n• +${RA_HP_BONUS}% de pontos de vida de Cameleiro, Arqueiro em Biga e Elefante de Guerra.\n• Monumentos fortalecidos por Faraós potencializam construções próximas (${RA_PHARAOH_EFFICIENCY}% de eficiência dos Faraós).\n• Sacerdotes podem fortalecer (${RA_PHARAOH_EFFICIENCY}% de eficiência dos Faraós)."
ID = "STR_CIV_ISIS"   ;   Str = "Ísis"
ID = "STR_CIV_ISIS_LR"   ;   Str = "Foco: Tecnologia.\n• Centros Urbanos e Centros de Cidadelas suportam +${ISIS_TOWN_CENTER_POPULATION_BONUS} de população.\n• Monumentos protegem contra Poderes de Deus inimigos (${ISIS_MONUMENT_SHIELD_RANGE} de alcance; ${ISIS_MONUMENT_SHIELD_RANGE_EMPOWERED} quando fortalecidos).\n• Monumentos fortalecidos curam unidades próximas (${ISIS_MONUMENT_HEAL_RANGE} de alcance) e geram Favor ${ISIS_FAVOR_GEN_SPEED}% mais rápido.\n• Tecnologias custam -${ISIS_TECH_COST_REDUCTION}%.\n• Obeliscos custam -${ISIS_OBELISK_COST} de Ouro e são construídos ${ISIS_OBELISK_BUILD_SPEED}% mais rápido."
ID = "STR_CIV_SET"   ;   Str = "Set"
ID = "STR_CIV_SET_LR"   ;   Str = "Foco: Unidades de Quartel.\n• Faraós podem invocar animais de Set.\n• Sacerdotes podem converter animais selvagens, mas animais convertidos dão ${SET_CONVERT_FOOD_LOSS}% menos comida.\n• +${SET_UNIT_SPEED_BONUS}% de velocidade de Lanceiro, Machadeiro e Fundeiro.\n• Quartel, Oficina de Cerco e Fortalezas Migdol custam -${SET_BUILDING_COST}% de Ouro.\n• Monumentos reduzem o custo de unidades em Quarteis e Fortalezas Migdol próximas em ${SET_BUILDING_UNIT_COST_REDUCTION}%."
ID = "STR_CIV_THOR"   ;   Str = "Thor"
ID = "STR_CIV_THOR_LR"   ;   Str = "Foco: Anões e Armaria.\n• Comece com Anões em vez de Coletores.\n• Os Anões custam -${THOR_DWARVE_COST_REDUCTION} de Ouro e coletam Comida e Madeira quase tão rápido quanto Coletores.\n• A Armaria de Anões pode ser construída e pesquisar melhorias em qualquer era.\n• Melhorias de Armaria custam -${THOR_ARMORY_COST_REDUCTION}% a menos.\n• Receba um Anão grátis para cada melhoria de Armaria de Anões pesquisada.\n• Pode pesquisar ${THOR_EXTRA_DWARVEN_ARMORY_UPGRADES} melhorias extras de Armaria de Anões."
ID = "STR_CIV_ODIN"   ;   Str = "Odin"
ID = "STR_CIV_ODIN_LR"   ;   Str = "Foco: Unidades de Grande Salão.\n• Coletores e Anões caçam ${ODIN_GATHERER_DWARVEN_HUNT_BONUS}% mais rápido.\n• Unidades de Grande Salão geram +${ODIN_GREAT_HALL_FAVOR_GENERATE}% de Favor em batalha.\n• Unidades humanas e heróis regeneram ${ODIN_HUMAN_HERO_HP_REGEN} pontos de vida/segundo.\n• ${ODIN_RAVEN_SCOUT_SPAWNS} Batedores Corvos surgem quando o primeiro Templo é construído e reaparecem pouco tempo depois de serem mortos."
ID = "STR_CIV_LOKI"   ;   Str = "Loki"
